"treatment","handle","gender","race","educ","partisan"
"control","Leave it, do nothing","Male","Black","High school graduate","target: democrats"
"threatening","Place a warning label on the post ","Male","White","Postgraduate","target: republicans"
"threatening","Leave it, do nothing","Male","White","Professional degree","target: democrats"
"non-group-related control","Leave it, do nothing","Male","White","PhD","non-group-related control"
"control","Leave it, do nothing","Male","Hispanic","High school graduate","target: democrats"
"uncivil","Leave it, do nothing","Male","Others","College","target: republicans"
"threatening","Permanently remove the post ","Female","Others","High school graduate","target: democrats"
"non-group-related control","Leave it, do nothing","Male","White","College","non-group-related control"
"threatening","Suspend the person’s account ","Male","White","High school graduate","target: democrats"
"control","Leave it, do nothing","Male","Black","Postgraduate","target: republicans"
"non-group-related control","Leave it, do nothing","Other","White","High school graduate","non-group-related control"
"non-group-related control","Leave it, do nothing","Female","White","High school graduate","non-group-related control"
"intolerant","Leave it, do nothing","Male","White","College","target: democrats"
"threatening","Leave it, do nothing","Male","Others","College","target: republicans"
"uncivil","Leave it, do nothing","Male","White","College","target: republicans"
"control","Leave it, do nothing","Male","White","High school graduate","target: republicans"
"non-group-related control","Leave it, do nothing","Female","Hispanic","College","non-group-related control"
"control","Leave it, do nothing","Female","White","Postgraduate","target: democrats"
"uncivil","Leave it, do nothing","Male","White","Postgraduate","target: democrats"
"control","Leave it, do nothing","Female","White","Postgraduate","target: republicans"
"non-group-related control","Leave it, do nothing","Female","White","High school graduate","non-group-related control"
"threatening","Leave it, do nothing","Male","White","College","target: democrats"
"uncivil","Leave it, do nothing","Female","White","High school graduate","target: democrats"
"control","Leave it, do nothing","Female","White","High school graduate","target: republicans"
"threatening","Leave it, do nothing","Male","White","High school graduate","target: republicans"
"control","Leave it, do nothing","Male","White","College","target: democrats"
"control","Leave it, do nothing","Male","White","College","target: democrats"
"threatening","Leave it, do nothing","Male","White","High school graduate","target: republicans"
"intolerant","Place a warning label on the post ","Male","White","Postgraduate","target: democrats"
"control","Leave it, do nothing","Female","White","College","target: republicans"
"uncivil","Leave it, do nothing","Male","Others","High school graduate","target: republicans"
"threatening","Leave it, do nothing","Female","White","College","target: republicans"
"threatening","Suspend the person’s account ","Other","White","College","target: democrats"
"control","Leave it, do nothing","Male","White","College","target: republicans"
"intolerant","Leave it, do nothing","Female","White","High school graduate","target: democrats"
"uncivil","Leave it, do nothing","Female","White","High school graduate","target: democrats"
"threatening","Permanently remove the post ","Male","Hispanic","High school graduate","target: democrats"
"uncivil","Leave it, do nothing","Female","White","College","target: democrats"
"intolerant","Leave it, do nothing","Other","White","High school graduate","target: republicans"
"uncivil","Place a warning label on the post ","Female","Black","Postgraduate","target: republicans"
"intolerant","Place a warning label on the post ","Male","White","College","target: democrats"
"intolerant","Place a warning label on the post ","Female","White","High school graduate","target: democrats"
"uncivil","Leave it, do nothing","Male","Others","College","target: democrats"
"threatening","Permanently remove the post ","Female","White","College","target: republicans"
"intolerant","Permanently remove the post ","Other","White","High school graduate","target: republicans"
"intolerant","Leave it, do nothing","Female","White","Postgraduate","target: republicans"
"control","Leave it, do nothing","Male","Hispanic","High school graduate","target: democrats"
"uncivil","Leave it, do nothing","Male","White","High school graduate","target: republicans"
"threatening","Leave it, do nothing","Female","White","Postgraduate","target: republicans"
"intolerant","Leave it, do nothing","Male","White","High school graduate","target: republicans"
"intolerant","Suspend the person’s account ","Male","White","High school graduate","target: democrats"
"intolerant","Leave it, do nothing","Male","Hispanic","High school graduate","target: republicans"
"intolerant","Permanently remove the post ","Male","White","College","target: democrats"
"control","Leave it, do nothing","Female","White","College","target: republicans"
"intolerant","Leave it, do nothing","Male","White","College","target: republicans"
"threatening","Leave it, do nothing","Male","White","Postgraduate","target: democrats"
"control","Leave it, do nothing","Male","Others","College","target: republicans"
"uncivil","Leave it, do nothing","Male","White","High school graduate","target: republicans"
"control","Leave it, do nothing","Male","White","Postgraduate","target: republicans"
"control","Leave it, do nothing","Female","Hispanic","High school graduate","target: republicans"
"control","Leave it, do nothing","Female","White","College","target: democrats"
"non-group-related control","Leave it, do nothing","Male","White","College","non-group-related control"
"threatening","Permanently remove the post ","Female","White","High school graduate","target: democrats"
"uncivil","Leave it, do nothing","Male","Black","High school graduate","target: republicans"
"intolerant","Reduce how many people can see the post ","Female","White","College","target: democrats"
"uncivil","Leave it, do nothing","Female","White","Professional degree","target: democrats"
"control","Leave it, do nothing","Male","White","Less than high school","target: republicans"
"non-group-related control","Leave it, do nothing","Male","Black","High school graduate","non-group-related control"
"intolerant","Leave it, do nothing","Male","White","College","target: republicans"
